product_id,name,category,base_price,unit_cost,seasonality,related_products,init_stock_share
P0158,Moisture-Wick Legging,Activewear,48.0,18.0,all_season,Seamless Sports Bra:0.67;Quick-Dry Training Tee:0.46;Pullover Training Hoodie:0.34,1.0
P0159,Pullover Training Hoodie,Activewear,58.0,22.0,fall/winter,Recovery Lounge Jogger:0.76;Soft Fleece Jogger:0.73;Insulated Gym Fleece:0.56,1.0
P0160,Mesh Vent Tank,Activewear,24.0,8.0,spring/summer,Core Training Tank:0.75;Running Shorts:0.44;High-Rise Bike Short:0.41,1.0
P0161,Performance Track Jacket,Activewear,74.0,29.0,all_season,Stretch Warmup Jacket:0.79;Reflective Run Vest:0.43;Athletic Zip Pant:0.55,1.0
P0162,Running Shorts,Activewear,31.0,11.0,spring/summer,Quick-Dry Training Tee:0.64;Trail Running Shoe:0.52;Athletic Training Shoe:0.48,1.0
P0163,Yoga Cropped Top,Activewear,27.0,9.0,spring/summer,Seamless Sports Bra:0.66;High-Rise Bike Short:0.59;Stretch Ponte Leggings:0.43,1.0
P0164,Athletic Zip Pant,Activewear,52.0,19.0,all_season,Performance Track Jacket:0.62;Stretch Warmup Jacket:0.57;Athletic Training Shoe:0.39,1.0
P0165,Court Skort,Activewear,38.0,14.0,spring/summer,Breathable Tennis Polo:0.78;Court Leather Sneaker:0.56;Performance Polo:0.41,1.0
P0166,Insulated Gym Fleece,Activewear,69.0,26.0,fall/winter,Pullover Training Hoodie:0.68;Soft Fleece Jogger:0.55;Recovery Lounge Jogger:0.47,1.0
P0167,Recovery Lounge Jogger,Activewear,46.0,16.0,all_season,Pullover Training Hoodie:0.71;Soft Fleece Jogger:0.69;Modern Crew Sweatshirt:0.38,1.0
P0168,Reflective Run Vest,Activewear,44.0,15.0,all_season,Trail Running Shoe:0.63;Running Shorts:0.58;Quick-Dry Training Tee:0.4,1.0
P0169,Breathable Tennis Polo,Activewear,33.0,12.0,spring/summer,Court Skort:0.8;Court Leather Sneaker:0.46;Pique Golf Shirt:0.38,1.0
P0170,Bike Mesh Short,Activewear,30.0,10.0,spring/summer,Seamless Sports Bra:0.61;Yoga Cropped Top:0.46;Sport Mesh Tee:0.33,1.0
P0171,Core Training Tank,Activewear,23.0,7.0,spring/summer,Mesh Vent Tank:0.78;Quick-Dry Training Tee:0.55;High-Rise Bike Short:0.42,1.0
P0172,Stretch Warmup Jacket,Activewear,63.0,24.0,all_season,Performance Track Jacket:0.77;Athletic Zip Pant:0.58;Running Shorts:0.31,1.0
P0173,Seam-Taped Shell,Activewear,82.0,32.0,spring,Packable Rain Shell:0.82;Children's Raincoat:0.35;Trail Running Shoe:0.3,1.0
P0174,Soft Fleece Jogger,Activewear,41.0,15.0,fall/winter,Recovery Lounge Jogger:0.81;Pullover Training Hoodie:0.67;Insulated Gym Fleece:0.5,1.0
P0175,Girls' Glitter Tee,Kids’ Apparel,24.0,7.0,all_season,Satin Hair Bow Set:0.42;Mini Print Sundress:0.31,1.0
P0176,Boys' Graphic Hoodie,Kids’ Apparel,38.0,13.0,fall/winter,Youth Fleece Sweatshirt:0.74;Little Explorer Jogger:0.49;Canvas Baseball Cap:0.32,1.0
P0177,Toddler Play Denim,Kids’ Apparel,32.0,11.0,all_season,Little Explorer Jogger:0.53;Kids' Puffer Vest:0.39;Velcro Kids Sneaker:0.45,1.0
P0178,Kids' Puffer Vest,Kids’ Apparel,44.0,16.0,fall/winter,Children's Raincoat:0.46;Youth Fleece Sweatshirt:0.41;Velcro Kids Sneaker:0.3,1.0
P0179,Stretch Jersey Legging,Kids’ Apparel,18.0,5.0,all_season,Girls' Glitter Tee:0.57;Youth Fleece Sweatshirt:0.49;Little Explorer Jogger:0.36,1.0
P0180,School Polo Shirt,Kids’ Apparel,21.0,6.0,all_season,Pique Golf Shirt:0.66;Slim Fit Oxford Shirt:0.38;Velcro Kids Sneaker:0.24,1.0
P0181,Children's Raincoat,Kids’ Apparel,46.0,17.0,spring,Packable Rain Shell:0.74;Kids' Puffer Vest:0.45;Weatherproof Snow Boot:0.33,1.0
P0182,Little Explorer Jogger,Kids’ Apparel,27.0,8.0,all_season,Youth Fleece Sweatshirt:0.7;Boys' Graphic Hoodie:0.58;Girls' Glitter Tee:0.34,1.0
P0183,Youth Fleece Sweatshirt,Kids’ Apparel,29.0,9.0,fall/winter,Boys' Graphic Hoodie:0.72;Little Explorer Jogger:0.63;Kids' Puffer Vest:0.44,1.0
P0184,Mini Print Sundress,Kids’ Apparel,26.0,7.0,spring/summer,Strappy Flat Sandal:0.67;Oversized Sun Hat:0.5;Satin Hair Bow Set:0.41,1.0
